seed,policy,route_minutes,time_total,life_total,units_delivered,avg_minutes_per_unit,score_alpha,score_beta,weighted_score,deliveries,route
33,TwoOptPolicy,25,105,3815991.848777288,570,6694.722541714541,1.0,0.001,-3710.9918487772884,10,"[0, 7, 5, 1, 3, 6, 9, 10, 2, 4, 8, 0]"
33,ORToolsTSPPolicy,23,103,3815991.6934186122,570,6694.72226915546,1.0,0.001,-3712.991693418612,10,"[0, 9, 10, 2, 4, 8, 5, 1, 6, 3, 7, 0]"
34,NearestNeighborPolicy,32,112,3815991.5256947028,570,6694.721974902987,1.0,0.001,-3703.991525694703,10,"[0, 1, 7, 10, 5, 6, 9, 3, 4, 8, 2, 0]"
34,TwoOptPolicy,32,112,3815991.651253521,570,6694.7221951816155,1.0,0.001,-3703.991651253521,10,"[0, 1, 7, 10, 5, 6, 9, 3, 4, 8, 2, 0]"
34,ORToolsTSPPolicy,30,110,3815991.4359902707,570,6694.721817526791,1.0,0.001,-3705.991435990271,10,"[0, 7, 10, 5, 6, 9, 4, 3, 2, 8, 1, 0]"
35,NearestNeighborPolicy,30,110,3815991.6646967093,570,6694.722218766156,1.0,0.001,-3705.9916646967094,10,"[0, 4, 1, 5, 2, 7, 8, 10, 9, 3, 6, 0]"
35,TwoOptPolicy,29,109,3815991.6209646384,570,6694.722142043225,1.0,0.001,-3706.9916209646385,10,"[0, 4, 1, 5, 2, 7, 10, 8, 9, 3, 6, 0]"
35,ORToolsTSPPolicy,26,106,3815991.510026175,570,6694.721947414342,1.0,0.001,-3709.991510026175,10,"[0, 6, 10, 7, 8, 9, 3, 1, 5, 2, 4, 0]"
36,NearestNeighborPolicy,34,114,3815991.736349124,570,6694.722344472148,1.0,0.001,-3701.991736349124,10,"[0, 6, 1, 5, 9, 7, 3, 8, 2, 10, 4, 0]"
36,TwoOptPolicy,34,114,3815991.637401769,570,6694.722170880296,1.0,0.001,-3701.991637401769,10,"[0, 6, 1, 5, 9, 7, 3, 8, 2, 10, 4, 0]"
36,ORToolsTSPPolicy,25,105,3815991.63793762,570,6694.7221718203855,1.0,0.001,-3710.99163793762,10,"[0, 6, 1, 9, 5, 4, 10, 3, 8, 2, 7, 0]"
37,NearestNeighborPolicy,38,118,3815991.5290199225,570,6694.721980736706,1.0,0.001,-3697.9915290199224,10,"[0, 6, 3, 8, 4, 1, 5, 10, 7, 2, 9, 0]"
37,TwoOptPolicy,36,116,3815991.556467036,570,6694.722028889537,1.0,0.001,-3699.991556467036,10,"[0, 6, 3, 8, 4, 1, 10, 7, 5, 2, 9, 0]"
37,ORToolsTSPPolicy,25,105,3815991.6229603733,570,6694.722145544514,1.0,0.001,-3710.991622960373,10,"[0, 7, 5, 1, 10, 2, 9, 6, 3, 8, 4, 0]"
38,NearestNeighborPolicy,32,112,3815991.6989085074,570,6694.722278786855,1.0,0.001,-3703.9916989085073,10,"[0, 1, 3, 4, 8, 2, 9, 5, 10, 6, 7, 0]"
38,TwoOptPolicy,32,112,3815991.766789294,570,6694.722397875954,1.0,0.001,-3703.9917667892937,10,"[0, 1, 3, 4, 8, 2, 9, 5, 10, 6, 7, 0]"
